,country,points,price,province,winery
0,Italy,87,,Sicily & Sardinia,Nicosia
1,Portugal,87,15,Douro,Quinta dos Avidagos
2,US,87,14,Oregon,Rainstorm
3,US,87,13,Michigan,St. Julian
4,US,87,65,Oregon,Sweet Cheeks
5,Spain,87,15,Northern Spain,Tandem
6,Italy,87,16,Sicily & Sardinia,Terre di Giurfo
7,France,87,24,Alsace,Trimbach
8,Germany,87,12,Rheinhessen,Heinz Eifel
9,France,87,27,Alsace,Jean-Baptiste Adam
10,US,87,19,California,Kirkland Signature
11,France,87,30,Alsace,Leon Beyer
12,US,87,34,California,Louis M. Martini
13,Italy,87,,Sicily & Sardinia,Masseria Setteporte
14,US,87,12,California,Mirassou
15,Germany,87,24,Mosel,Richard Böcking
16,Argentina,87,30,Other,Felix Lavaque
17,Argentina,87,13,Mendoza Province,Gaucho Andino
18,Spain,87,28,Northern Spain,Pradorey
19,US,87,32,Virginia,Quiévremont
20,US,87,23,Virginia,Quiévremont
21,US,87,20,Oregon,Acrobat
22,Italy,87,19,Sicily & Sardinia,Baglio di Pianetto
23,US,87,22,California,Bianchi
24,Italy,87,35,Sicily & Sardinia,Canicattì
25,US,87,69,California,Castello di Amorosa
26,Italy,87,13,Sicily & Sardinia,Stemmari
27,Italy,87,10,Sicily & Sardinia,Stemmari
28,Italy,87,17,Sicily & Sardinia,Terre di Giurfo
29,US,86,16,California,Clarksburg Wine Company
30,France,86,,Beaujolais,Domaine de la Madone
31,Italy,86,,Sicily & Sardinia,Duca di Salaparuta
32,Italy,86,,Sicily & Sardinia,Duca di Salaparuta
33,US,86,50,California,Envolve
34,US,86,20,California,Envolve
35,US,86,50,Oregon,Erath
36,Chile,86,15,Colchagua Valley,Estampa
37,Italy,86,21,Sicily & Sardinia,Feudi del Pisciotto
38,Italy,86,11,Southern Italy,Feudi di San Marzano
39,Italy,86,12,Sicily & Sardinia,Feudo di Santa Tresa
40,Italy,86,17,Sicily & Sardinia,Feudo Montoni
41,US,86,22,Oregon,Hawkins Cellars
42,France,86,9,Beaujolais,Henry Fessy
43,US,86,14,California,Robert Hall
44,Chile,86,9,Maule Valley,Sundance
45,US,86,40,Virginia,Tarara
46,Italy,86,13,Sicily & Sardinia,Tasca d'Almerita
47,US,86,13,California,The White Knight
48,US,86,16,Virginia,Trump
49,France,86,14,Beaujolais,Vignerons de Bel Air
50,Italy,86,,Sicily & Sardinia,Viticultori Associati Canicatti
51,Chile,85,22,Colchagua Valley,Casa Silva
52,Italy,85,14,Sicily & Sardinia,Cantine di Dolianova
53,France,85,15,Bordeaux,Château de Sours
54,Italy,85,,Sicily & Sardinia,Corvo
55,US,85,30,California,RustRidge
56,US,85,14,California,Souverain
57,Italy,85,13,Sicily & Sardinia,Tasca d'Almerita
58,Chile,85,13,Maipo Valley,Tres Palacios
59,US,86,55,Washington,Mellisoni
60,US,86,100,California,Okapi
61,Italy,86,17,Central Italy,Podere dal Nespoli
62,US,86,25,Washington,Ram
63,France,86,58,Champagne,Roland Champion
64,US,86,26,California,Sevtap
65,France,86,24,Burgundy,Simonnet-Febvre
66,France,86,15,Burgundy,Vignerons des Terres Secrètes
67,US,86,46,Washington,Basel Cellars
68,US,86,12,California,Cocobon
69,France,86,55,Champagne,Collet
70,US,86,12,Washington,Drumheller
71,US,86,40,California,Eco Terreno
72,Italy,86,32,Southern Italy,Grifalco
73,US,86,75,California,Hindsight
74,US,86,55,California,Hindsight
75,US,86,75,California,Mulvane Wine Co.
76,Germany,86,9,Rheinhessen,Schmitt Söhne
77,Australia,86,18,South Australia,Yalumba
78,US,86,25,Oregon,Z'IVO
79,Portugal,86,,Tejo,Adega Cooperativa do Cartaxo
80,Chile,86,12,Rapel Valley,Aresti
81,Spain,86,16,Galicia,Spyro
82,France,86,11,France Other,Lionel Osmin & Cie
83,Australia,86,20,South Australia,Mitolo
84,US,86,24,California,Napa Cellars
85,Germany,86,10,Rheinhessen,P.J. Valckenberg
86,US,86,20,Washington,Palencia
87,US,86,55,California,Passaggio
88,Italy,86,29,Tuscany,Poggio Alloro
89,Italy,88,19,Tuscany,Fattoria Sardi
90,US,88,23,California,Ferrari-Carano
91,US,88,18,California,Folie à Deux
92,US,88,55,California,Franciscan
93,Austria,88,12,Burgenland,Fuchs
94,US,88,22,Washington,Gård
95,France,88,20,Beaujolais,Henry Fessy
96,France,88,18,Beaujolais,Henry Fessy
97,US,88,20,New York,Heron Hill
98,Italy,88,30,Tuscany,Serpaia di Endrizzi
99,US,88,75,California,Soquel Vineyards
100,US,88,18,New York,Ventosa
101,US,87,20,New York,Lamoreaux Landing
102,US,87,20,New York,Lamoreaux Landing
103,Chile,87,18,Leyda Valley,Leyda
104,Italy,87,16,Tuscany,Madonna Alta
105,Italy,87,14,Tuscany,Marchesi Antinori
106,Italy,87,30,Tuscany,Marchesi de' Frescobaldi
107,Italy,87,18,Tuscany,Marchesi de' Frescobaldi
108,US,87,26,California,Martin Ranch
109,Italy,87,30,Tuscany,Ornellaia
110,France,87,23,Beaujolais,Pardon et Fils
111,US,87,85,California,Piña
